Club,Year,Transfer_Spend,Transfer_Revenue
FC Barcelona,1996-12-31,16800000.0,18700000.0
Real Madrid,1996-12-31,10100000.0,0.0
Deportivo de La Coruña,1996-12-31,4780000.0,0.0
Athletic Bilbao,1996-12-31,3000000.0,0.0
Valencia CF,1996-12-31,2000000.0,3000000.0
Atlético Madrid,1996-12-31,1820000.0,0.0
Rayo Vallecano,1996-12-31,1200000.0,0.0
Albacete Balompié,1996-12-31,700000.0,0.0
Sporting Gijón,1996-12-31,500000.0,0.0
Real Sociedad,1996-12-31,300000.0,8500000.0
SD Compostela,1996-12-31,250000.0,0.0
Real Oviedo,1996-12-31,210000.0,3000000.0
Real Zaragoza,1996-12-31,,5600000.0
Real Betis Balompié,1996-12-31,,3000000.0
Real Valladolid CF,1996-12-31,,0.0
Sevilla FC,1996-12-31,,0.0
Racing Santander,1996-12-31,,2280000.0
CD Tenerife,1996-12-31,,0.0
RCD Espanyol Barcelona,1996-12-31,,0.0
Celta de Vigo,1996-12-31,,0.0
UD Salamanca,1996-12-31,,0.0
CP Mérida,1996-12-31,,0.0
Real Madrid,1997-12-31,56230000.0,4000000.0
FC Barcelona,1997-12-31,39500000.0,11220000.0
Deportivo de La Coruña,1997-12-31,31200000.0,2500000.0
Sevilla FC,1997-12-31,12770000.0,11000000.0
Real Betis Balompié,1997-12-31,11800000.0,0.0
Valencia CF,1997-12-31,9000000.0,14000000.0
Real Sociedad,1997-12-31,8000000.0,6000000.0
Real Zaragoza,1997-12-31,4099999.9999999995,4000000.0
Atlético Madrid,1997-12-31,3650000.0,6000000.0
Racing Santander,1997-12-31,3000000.0,0.0
CD Tenerife,1997-12-31,3000000.0,0.0
Celta de Vigo,1997-12-31,3000000.0,0.0
RCD Espanyol Barcelona,1997-12-31,2300000.0,0.0
Real Oviedo,1997-12-31,2100000.0,0.0
Sporting Gijón,1997-12-31,1700000.0,0.0
Rayo Vallecano,1997-12-31,1000000.0,0.0
CF Extremadura,1997-12-31,871000.0,0.0
CD Logroñés,1997-12-31,,0.0
Real Valladolid CF,1997-12-31,,0.0
Athletic Bilbao,1997-12-31,,900000.0
SD Compostela,1997-12-31,,0.0
Hércules CF,1997-12-31,,0.0
FC Barcelona,1998-12-31,59200000.0,40800000.0
Atlético Madrid,1998-12-31,43860000.0,210000.0
Real Madrid,1998-12-31,27970000.0,0.0
Valencia CF,1998-12-31,19650000.0,6100000.0
Deportivo de La Coruña,1998-12-31,19600000.0,24250000.0
CD Tenerife,1998-12-31,14000000.0,5300000.0
Athletic Bilbao,1998-12-31,12000000.0,10510000.0
RCD Espanyol Barcelona,1998-12-31,5300000.0,9000000.0
CP Mérida,1998-12-31,5290000.0,4810000.0
Real Valladolid CF,1998-12-31,2000000.0,0.0
Sporting Gijón,1998-12-31,2000000.0,0.0
Real Betis Balompié,1998-12-31,1800000.0,12750000.0
Real Oviedo,1998-12-31,1500000.0,0.0
RCD Mallorca,1998-12-31,1000000.0,100000.0
UD Salamanca,1998-12-31,900000.0,0.0
Celta de Vigo,1998-12-31,800000.0,0.0
Real Zaragoza,1998-12-31,,0.0
Racing Santander,1998-12-31,,0.0
Real Sociedad,1998-12-31,,0.0
SD Compostela,1998-12-31,,0.0
FC Barcelona,1999-12-31,49350000.0,25700000.0
Real Betis Balompié,1999-12-31,39000000.0,0.0
Atlético Madrid,1999-12-31,20800000.0,30360000.0
Deportivo de La Coruña,1999-12-31,14100000.0,0.0
Real Madrid,1999-12-31,9000000.0,12400000.0
CD Tenerife,1999-12-31,8400000.0,0.0
Real Oviedo,1999-12-31,7200000.0,500000.0
Valencia CF,1999-12-31,6500000.0,4620000.0
Villarreal CF,1999-12-31,4500000.0,0.0
Racing Santander,1999-12-31,3690000.0,4000000.0
Real Valladolid CF,1999-12-31,3300000.0,0.0
RCD Mallorca,1999-12-31,2400000.0,6800000.0
UD Salamanca,1999-12-31,2250000.0,0.0
Celta de Vigo,1999-12-31,2000000.0,0.0
Deportivo Alavés,1999-12-31,1150000.0,0.0
Real Zaragoza,1999-12-31,,350000.0
Athletic Bilbao,1999-12-31,,0.0
Real Sociedad,1999-12-31,,0.0
RCD Espanyol Barcelona,1999-12-31,,12250000.0
CF Extremadura,1999-12-31,,3000000.0
Real Madrid,2000-12-31,77500000.0,57710000.0
Deportivo de La Coruña,2000-12-31,30600000.0,20100000.0
FC Barcelona,2000-12-31,22000000.0,35500000.0
Atlético Madrid,2000-12-31,21500000.0,44550000.0
Valencia CF,2000-12-31,17100000.0,8000000.0
Celta de Vigo,2000-12-31,15520000.0,6800000.0
RCD Mallorca,2000-12-31,12600000.0,21700000.0
Racing Santander,2000-12-31,5000000.0,7600000.0
Real Betis Balompié,2000-12-31,3800000.0,0.0
RCD Espanyol Barcelona,2000-12-31,2800000.0,7300000.0
Rayo Vallecano,2000-12-31,2100000.0,0.0
Deportivo Alavés,2000-12-31,2049999.9999999998,0.0
Real Sociedad,2000-12-31,1500000.0,17000000.0
Real Oviedo,2000-12-31,270000.0,7400000.0
Real Zaragoza,2000-12-31,,3900000.0
Real Valladolid CF,2000-12-31,,0.0
Sevilla FC,2000-12-31,,0.0
Athletic Bilbao,2000-12-31,,0.0
Málaga CF,2000-12-31,,0.0
CD Numancia,2000-12-31,,0.0
Real Madrid,2001-12-31,119250000.0,63450000.0
FC Barcelona,2001-12-31,97100000.0,74800000.0
Valencia CF,2001-12-31,58700000.0,61250000.0
Deportivo de La Coruña,2001-12-31,55450000.0,39500000.0
Real Sociedad,2001-12-31,17680000.0,0.0
Villarreal CF,2001-12-31,16800000.0,0.0
Celta de Vigo,2001-12-31,16719999.999999998,23000000.0
UD Las Palmas,2001-12-31,5700000.0,0.0
Málaga CF,2001-12-31,5000000.0,14420000.0
Rayo Vallecano,2001-12-31,2000000.0,4200000.0
Real Zaragoza,2001-12-31,1860000.0,25000000.0
CA Osasuna,2001-12-31,1700000.0,0.0
RCD Espanyol Barcelona,2001-12-31,800000.0,3000000.0
Racing Santander,2001-12-31,750000.0,12000000.0
RCD Mallorca,2001-12-31,,35310000.0
Real Valladolid CF,2001-12-31,,6250000.0
Athletic Bilbao,2001-12-31,,0.0
Deportivo Alavés,2001-12-31,,200000.0
CD Numancia,2001-12-31,,0.0
Real Oviedo,2001-12-31,,765000.0
FC Barcelona,2002-12-31,96000000.0,37510000.0
Real Madrid,2002-12-31,77500000.0,0.0
Valencia CF,2002-12-31,33549999.999999996,52000000.0
Deportivo de La Coruña,2002-12-31,30800000.0,6500000.0
Real Sociedad,2002-12-31,25490000.0,0.0
Real Zaragoza,2002-12-31,23650000.0,0.0
Real Betis Balompié,2002-12-31,11080000.0,200000.0
Celta de Vigo,2002-12-31,8000000.0,11120000.0
Villarreal CF,2002-12-31,6070000.0,0.0
RCD Mallorca,2002-12-31,4820000.0,5400000.0
Málaga CF,2002-12-31,2850000.0,22750000.0
CA Osasuna,2002-12-31,2500000.0,450000.0
Rayo Vallecano,2002-12-31,1000000.0,0.0
Deportivo Alavés,2002-12-31,750000.0,23000000.0
Real Valladolid CF,2002-12-31,,8300000.000000001
Sevilla FC,2002-12-31,,0.0
UD Las Palmas,2002-12-31,,6000000.0
Athletic Bilbao,2002-12-31,,0.0
CD Tenerife,2002-12-31,,0.0
RCD Espanyol Barcelona,2002-12-31,,17970000.0
Real Madrid,2003-12-31,45000000.0,3000000.0
Deportivo de La Coruña,2003-12-31,39000000.0,9700000.0
Atlético Madrid,2003-12-31,26400000.0,6900000.0
FC Barcelona,2003-12-31,19000000.0,11550000.0
RCD Espanyol Barcelona,2003-12-31,11270000.0,0.0
Celta de Vigo,2003-12-31,10300000.0,50000.0
Real Betis Balompié,2003-12-31,6000000.0,1400000.0
Deportivo Alavés,2003-12-31,4400000.0,0.0
Villarreal CF,2003-12-31,2100000.0,60000.0
Sevilla FC,2003-12-31,1450000.0,0.0
Rayo Vallecano,2003-12-31,750000.0,0.0
Racing Santander,2003-12-31,500000.0,1800000.0
Recreativo Huelva,2003-12-31,450000.0,0.0
RCD Mallorca,2003-12-31,200000.0,15000000.0
CA Osasuna,2003-12-31,,0.0
Real Valladolid CF,2003-12-31,,2230000.0
Athletic Bilbao,2003-12-31,,0.0
Real Sociedad,2003-12-31,,2400000.0
Valencia CF,2003-12-31,,1500000.0
Málaga CF,2003-12-31,,0.0
FC Barcelona,2004-12-31,43850000.0,2900000.0
Real Madrid,2004-12-31,37500000.0,31800000.0
Villarreal CF,2004-12-31,12050000.0,0.0
Atlético Madrid,2004-12-31,8000000.0,250000.0
RCD Mallorca,2004-12-31,6500000.0,10000000.0
Real Zaragoza,2004-12-31,5800000.0,0.0
Real Sociedad,2004-12-31,5000000.0,0.0
Sevilla FC,2004-12-31,3500000.0,20000000.0
RCD Espanyol Barcelona,2004-12-31,3200000.0,0.0
Real Murcia CF,2004-12-31,2700000.0,0.0
Deportivo de La Coruña,2004-12-31,2500000.0,19750000.0
Celta de Vigo,2004-12-31,2500000.0,4000000.0
CA Osasuna,2004-12-31,1800000.0,0.0
Valencia CF,2004-12-31,1000000.0,4500000.0
Albacete Balompié,2004-12-31,300000.0,0.0
Real Betis Balompié,2004-12-31,,0.0
Real Valladolid CF,2004-12-31,,0.0
Athletic Bilbao,2004-12-31,,0.0
Racing Santander,2004-12-31,,0.0
Málaga CF,2004-12-31,,3000000.0
FC Barcelona,2005-12-31,78500000.0,14750000.0
Real Madrid,2005-12-31,58700000.0,9250000.0
Valencia CF,2005-12-31,40000000.0,8000000.0
Villarreal CF,2005-12-31,14400000.0,8000000.0
Atlético Madrid,2005-12-31,13300000.0,0.0
Real Betis Balompié,2005-12-31,10000000.0,0.0
Sevilla FC,2005-12-31,7530000.0,0.0
Real Sociedad,2005-12-31,6750000.0,16800000.0
Deportivo de La Coruña,2005-12-31,5000000.0,2200000.0
Levante UD,2005-12-31,3400000.0,0.0
RCD Espanyol Barcelona,2005-12-31,3050000.0,190000.0
RCD Mallorca,2005-12-31,2900000.0,27000000.0
Racing Santander,2005-12-31,1140000.0,0.0
Real Zaragoza,2005-12-31,800000.0,0.0
Málaga CF,2005-12-31,750000.0,3700000.0
CD Numancia,2005-12-31,720000.0,0.0
CA Osasuna,2005-12-31,,0.0
Athletic Bilbao,2005-12-31,,0.0
Albacete Balompié,2005-12-31,,3730000.0
Getafe CF,2005-12-31,,0.0
Real Madrid,2006-12-31,89500000.0,43100000.0
Atlético Madrid,2006-12-31,26500000.0,5300000.0
Sevilla FC,2006-12-31,23000000.0,47000000.0
Valencia CF,2006-12-31,22840000.0,12400000.0
Villarreal CF,2006-12-31,19900000.0,13350000.0
RCD Espanyol Barcelona,2006-12-31,15630000.0,6600000.0
RCD Mallorca,2006-12-31,9750000.0,5000000.0
Real Zaragoza,2006-12-31,7000000.0,14500000.0
Real Betis Balompié,2006-12-31,5500000.0,0.0
Deportivo de La Coruña,2006-12-31,5000000.0,20180000.0
Racing Santander,2006-12-31,4600000.0,6450000.0
Real Sociedad,2006-12-31,3500000.0,4800000.0
Cádiz CF,2006-12-31,3300000.0,0.0
Athletic Bilbao,2006-12-31,3000000.0,12000000.0
Getafe CF,2006-12-31,1800000.0,0.0
Málaga CF,2006-12-31,1520000.0,2000000.0
Deportivo Alavés,2006-12-31,1400000.0,0.0
CA Osasuna,2006-12-31,1000000.0,5400000.0
Celta de Vigo,2006-12-31,1000000.0,0.0
FC Barcelona,2006-12-31,,11000000.0
Real Madrid,2007-12-31,103000000.0,15200000.0
Atlético Madrid,2007-12-31,57130000.0,7000000.0
Valencia CF,2007-12-31,49800000.0,17830000.0
FC Barcelona,2007-12-31,31000000.0,13000000.0
Villarreal CF,2007-12-31,28040000.0,5450000.0
Real Betis Balompié,2007-12-31,24740000.0,40200000.0
Sevilla FC,2007-12-31,18700000.0,1500000.0
Real Zaragoza,2007-12-31,16800000.0,16079999.999999998
RCD Mallorca,2007-12-31,13000000.0,3600000.0
Deportivo de La Coruña,2007-12-31,11070000.0,3900000.0
Real Sociedad,2007-12-31,8450000.0,350000.0
Athletic Bilbao,2007-12-31,8000000.0,300000.0
Racing Santander,2007-12-31,6000000.0,0.0
Celta de Vigo,2007-12-31,4750000.0,0.0
Getafe CF,2007-12-31,4300000.0,12940000.0
Levante UD,2007-12-31,3850000.0,0.0
RCD Espanyol Barcelona,2007-12-31,2730000.0,450000.0
Gimnàstic de Tarragona,2007-12-31,1200000.0,75000.0
Recreativo Huelva,2007-12-31,525000.0,0.0
CA Osasuna,2007-12-31,400000.0,300000.0
Real Madrid,2008-12-31,118000000.0,42400000.0
Atlético Madrid,2008-12-31,80500000.0,52100000.0
Valencia CF,2008-12-31,72150000.0,7600000.0
FC Barcelona,2008-12-31,68500000.0,14000000.0
Villarreal CF,2008-12-31,40000000.0,44450000.0
Sevilla FC,2008-12-31,29000000.0,21100000.0
Real Betis Balompié,2008-12-31,24300000.0,1230000.0
Real Zaragoza,2008-12-31,21100000.0,25300000.0
Getafe CF,2008-12-31,18000000.0,13000000.0
Racing Santander,2008-12-31,13530000.0,16900000.0
Athletic Bilbao,2008-12-31,13300000.0,1000000.0
CA Osasuna,2008-12-31,10050000.0,23900000.0
UD Almería,2008-12-31,9750000.0,0.0
Real Murcia CF,2008-12-31,9730000.0,2200000.0
Recreativo Huelva,2008-12-31,8540000.0,1200000.0
Deportivo de La Coruña,2008-12-31,7950000.0,22000000.0
RCD Mallorca,2008-12-31,7500000.0,11970000.0
Levante UD,2008-12-31,5300000.0,1000000.0
RCD Espanyol Barcelona,2008-12-31,5100000.0,6850000.0
Real Valladolid CF,2008-12-31,1900000.0,0.0
FC Barcelona,2009-12-31,96000000.0,54590000.0
Real Madrid,2009-12-31,82200000.0,71000000.0
Sevilla FC,2009-12-31,37700000.0,60550000.0
Real Betis Balompié,2009-12-31,34200000.0,11500000.0
Atlético Madrid,2009-12-31,26500000.0,3450000.0
Villarreal CF,2009-12-31,26170000.0,24500000.0
Getafe CF,2009-12-31,17500000.0,8000000.0
UD Almería,2009-12-31,14500000.0,8000000.0
RCD Espanyol Barcelona,2009-12-31,14300000.0,18600000.0
RCD Mallorca,2009-12-31,10230000.0,32400000.0
Deportivo de La Coruña,2009-12-31,9200000.0,20180000.0
Valencia CF,2009-12-31,6600000.0,11300000.0
CA Osasuna,2009-12-31,5050000.0,4750000.0
Recreativo Huelva,2009-12-31,4990000.0,14300000.0
Racing Santander,2009-12-31,3800000.0,17500000.0
Real Valladolid CF,2009-12-31,1250000.0,5500000.0
Málaga CF,2009-12-31,1100000.0,0.0
Athletic Bilbao,2009-12-31,300000.0,6000000.0
CD Numancia,2009-12-31,300000.0,2000000.0
Sporting Gijón,2009-12-31,100000.0,0.0
Real Madrid,2010-12-31,258500000.0,88500000.0
FC Barcelona,2010-12-31,113500000.0,24500000.0
Sevilla FC,2010-12-31,27500000.0,9300000.0
Villarreal CF,2010-12-31,22900000.0,11750000.0
Atlético Madrid,2010-12-31,17250000.0,17900000.0
Real Zaragoza,2010-12-31,14900000.0,10920000.0
Getafe CF,2010-12-31,12250000.0,11400000.0
Real Valladolid CF,2010-12-31,6680000.0,9500000.0
Racing Santander,2010-12-31,6000000.0,8500000.0
RCD Espanyol Barcelona,2010-12-31,5800000.0,5700000.0
UD Almería,2010-12-31,5200000.0,7500000.0
Valencia CF,2010-12-31,5000000.0,20630000.0
Athletic Bilbao,2010-12-31,2350000.0,0.0
Deportivo de La Coruña,2010-12-31,2000000.0,2700000.0
Málaga CF,2010-12-31,1600000.0,1150000.0
Sporting Gijón,2010-12-31,1400000.0,3300000.0
CA Osasuna,2010-12-31,1200000.0,4000000.0
CD Tenerife,2010-12-31,600000.0,0.0
Xerez CD,2010-12-31,500000.0,0.0
RCD Mallorca,2010-12-31,400000.0,9600000.0
Real Madrid,2011-12-31,93000000.0,10500000.0
FC Barcelona,2011-12-31,72500000.0,52700000.0
Atlético Madrid,2011-12-31,34050000.0,23900000.0
Valencia CF,2011-12-31,27850000.0,84350000.0
Málaga CF,2011-12-31,25050000.0,0.0
Sevilla FC,2011-12-31,17100000.0,29600000.0
RCD Espanyol Barcelona,2011-12-31,11250000.0,24500000.0
Hércules CF,2011-12-31,6210000.0,400000.0
Real Zaragoza,2011-12-31,4350000.0,2000000.0
Villarreal CF,2011-12-31,4250000.0,15320000.0
Real Sociedad,2011-12-31,4200000.0,0.0
Getafe CF,2011-12-31,3900000.0,22100000.0
UD Almería,2011-12-31,3200000.0,5000000.0
CA Osasuna,2011-12-31,2790000.0,10250000.0
Athletic Bilbao,2011-12-31,2720000.0,0.0
Racing Santander,2011-12-31,1470000.0,10000000.0
Sporting Gijón,2011-12-31,800000.0,0.0
Deportivo de La Coruña,2011-12-31,650000.0,13700000.0
RCD Mallorca,2011-12-31,,6400000.0
Levante UD,2011-12-31,,0.0
Atlético Madrid,2012-12-31,85200000.0,85350000.0
FC Barcelona,2012-12-31,60000000.0,46950000.0
Málaga CF,2012-12-31,59250000.0,0.0
Real Madrid,2012-12-31,56000000.0,8000000.0
Valencia CF,2012-12-31,34000000.0,32900000.0
Villarreal CF,2012-12-31,31300000.0,26850000.0
Sevilla FC,2012-12-31,19000000.0,15700000.0
Granada CF,2012-12-31,12190000.0,150000.0
Real Zaragoza,2012-12-31,11500000.0,15800000.0
Athletic Bilbao,2012-12-31,7500000.0,0.0
RCD Espanyol Barcelona,2012-12-31,6500000.0,25000000.0
RCD Mallorca,2012-12-31,3600000.0,9750000.0
Real Betis Balompié,2012-12-31,3440000.0,4500000.0
Getafe CF,2012-12-31,3300000.0,18580000.0
CA Osasuna,2012-12-31,2600000.0,8300000.000000001
Levante UD,2012-12-31,1550000.0,8000000.0
Real Sociedad,2012-12-31,1500000.0,0.0
Sporting Gijón,2012-12-31,1500000.0,4500000.0
Racing Santander,2012-12-31,350000.0,2100000.0
Rayo Vallecano,2012-12-31,340000.0,1800000.0
Real Madrid,2013-12-31,38500000.0,33500000.0
FC Barcelona,2013-12-31,33000000.0,500000.0
Valencia CF,2013-12-31,23200000.0,30000000.0
Sevilla FC,2013-12-31,14000000.0,12200000.0
Real Sociedad,2013-12-31,14000000.0,500000.0
Granada CF,2013-12-31,13070000.0,7250000.0
Getafe CF,2013-12-31,5700000.0,5000000.0
Celta de Vigo,2013-12-31,5150000.0,0.0
Atlético Madrid,2013-12-31,4500000.0,21350000.0
RCD Mallorca,2013-12-31,3700000.0,6000000.0
Real Betis Balompié,2013-12-31,2650000.0,0.0
Athletic Bilbao,2013-12-31,2500000.0,40000000.0
Real Zaragoza,2013-12-31,1800000.0,1670000.0
Deportivo de La Coruña,2013-12-31,750000.0,0.0
RCD Espanyol Barcelona,2013-12-31,650000.0,5700000.0
Levante UD,2013-12-31,650000.0,7940000.0
CA Osasuna,2013-12-31,600000.0,5700000.0
Real Valladolid CF,2013-12-31,,0.0
Rayo Vallecano,2013-12-31,,2570000.0
Málaga CF,2013-12-31,,41600000.0
Real Madrid,2014-12-31,175500000.0,113500000.0
FC Barcelona,2014-12-31,101200000.0,28100000.0
Atlético Madrid,2014-12-31,36100000.0,70100000.0
Sevilla FC,2014-12-31,35300000.0,90980000.0
Valencia CF,2014-12-31,22470000.0,47100000.0
Villarreal CF,2014-12-31,16000000.0,10500000.0
Athletic Bilbao,2014-12-31,15400000.0,0.0
Getafe CF,2014-12-31,10000000.0,14500000.0
Real Betis Balompié,2014-12-31,7450000.0,8580000.0
Real Sociedad,2014-12-31,6500000.0,32000000.0
Granada CF,2014-12-31,5980000.0,6700000.0
Málaga CF,2014-12-31,5230000.0,37650000.0
Celta de Vigo,2014-12-31,5000000.0,10800000.0
CA Osasuna,2014-12-31,3100000.0,4000000.0
Elche CF,2014-12-31,2230000.0,0.0
Real Valladolid CF,2014-12-31,1050000.0,1800000.0
RCD Espanyol Barcelona,2014-12-31,750000.0,12900000.0
Levante UD,2014-12-31,300000.0,4620000.0
Rayo Vallecano,2014-12-31,,7000000.0
UD Almería,2014-12-31,,1000000.0
FC Barcelona,2015-12-31,166720000.0,81800000.0
Atlético Madrid,2015-12-31,144350000.0,89300000.0
Real Madrid,2015-12-31,126000000.0,112700000.0
Valencia CF,2015-12-31,55050000.0,55450000.0
Sevilla FC,2015-12-31,20950000.0,50550000.0
Villarreal CF,2015-12-31,18700000.0,22500000.0
Real Sociedad,2015-12-31,12000000.0,69200000.0
Granada CF,2015-12-31,7920000.0,21000000.0
Celta de Vigo,2015-12-31,3900000.0,1500000.0
RCD Espanyol Barcelona,2015-12-31,2200000.0,11000000.0
Málaga CF,2015-12-31,1500000.0,18990000.0
Deportivo de La Coruña,2015-12-31,1400000.0,0.0
Elche CF,2015-12-31,1350000.0,6000000.0
Athletic Bilbao,2015-12-31,1000000.0,36000000.0
Levante UD,2015-12-31,800000.0,10000000.0
Córdoba CF,2015-12-31,750000.0,0.0
Rayo Vallecano,2015-12-31,500000.0,350000.0
SD Eibar,2015-12-31,162000.0,600000.0
UD Almería,2015-12-31,,3000000.0
Getafe CF,2015-12-31,,8000000.0
Valencia CF,2016-12-31,143900000.0,50000000.0
Atlético Madrid,2016-12-31,119000000.0,152000000.0
Real Madrid,2016-12-31,85400000.0,15650000.0
FC Barcelona,2016-12-31,51000000.0,38300000.0
Villarreal CF,2016-12-31,47200000.0,36260000.0
Sevilla FC,2016-12-31,44000000.0,61450000.0
Real Sociedad,2016-12-31,25100000.0,1000000.0
Celta de Vigo,2016-12-31,16300000.0,18500000.0
Athletic Bilbao,2016-12-31,10000000.0,0.0
Real Betis Balompié,2016-12-31,8850000.0,1050000.0
Málaga CF,2016-12-31,8650000.0,46800000.0
Deportivo de La Coruña,2016-12-31,8000000.0,0.0
Levante UD,2016-12-31,6550000.0,0.0
UD Las Palmas,2016-12-31,6400000.0,0.0
Granada CF,2016-12-31,3850000.0,11170000.0
SD Eibar,2016-12-31,3700000.0,0.0
RCD Espanyol Barcelona,2016-12-31,3150000.0,15200000.0
Rayo Vallecano,2016-12-31,400000.0,0.0
Getafe CF,2016-12-31,270000.0,4099999.9999999995
Sporting Gijón,2016-12-31,,0.0
FC Barcelona,2017-12-31,124750000.0,33800000.0
Sevilla FC,2017-12-31,81700000.0,93450000.0
Atlético Madrid,2017-12-31,78800000.0,44000000.0
Villarreal CF,2017-12-31,55950000.0,67250000.0
Valencia CF,2017-12-31,36000000.0,121900000.0
Real Madrid,2017-12-31,30000000.0,37500000.0
Real Betis Balompié,2017-12-31,20900000.0,8000000.0
RCD Espanyol Barcelona,2017-12-31,18400000.0,6000000.0
Real Sociedad,2017-12-31,18000000.0,11000000.0
Málaga CF,2017-12-31,12540000.0,0.0
Granada CF,2017-12-31,11580000.0,31600000.0
SD Eibar,2017-12-31,8600000.0,5000000.0
Celta de Vigo,2017-12-31,8400000.0,19800000.0
Deportivo de La Coruña,2017-12-31,7000000.0,20000000.0
Deportivo Alavés,2017-12-31,6330000.0,0.0
CD Leganés,2017-12-31,5450000.0,200000.0
UD Las Palmas,2017-12-31,2900000.0,200000.0
CA Osasuna,2017-12-31,2200000.0,3750000.0
Sporting Gijón,2017-12-31,1000000.0,0.0
Athletic Bilbao,2017-12-31,,0.0
FC Barcelona,2018-12-31,375100000.0,232500000.0
Atlético Madrid,2018-12-31,95600000.0,104000000.0
Sevilla FC,2018-12-31,78050000.0,81600000.0
Valencia CF,2018-12-31,55000000.0,16550000.0
Villarreal CF,2018-12-31,46100000.0,68000000.0
Real Madrid,2018-12-31,40500000.0,132500000.0
Real Betis Balompié,2018-12-31,38500000.0,27070000.0
Athletic Bilbao,2018-12-31,32000000.0,65000000.0
Celta de Vigo,2018-12-31,26800000.0,13200000.0
Real Sociedad,2018-12-31,25500000.0,53000000.0
RCD Espanyol Barcelona,2018-12-31,17050000.0,10500000.0
Getafe CF,2018-12-31,12900000.0,1600000.0
Deportivo Alavés,2018-12-31,12330000.0,7500000.0
Málaga CF,2018-12-31,10500000.0,33400000.0
SD Eibar,2018-12-31,10250000.0,10000000.0
Levante UD,2018-12-31,10000000.0,14050000.0
Deportivo de La Coruña,2018-12-31,9500000.0,5500000.0
Girona FC,2018-12-31,8750000.0,0.0
CD Leganés,2018-12-31,6550000.0,130000.0
UD Las Palmas,2018-12-31,350000.0,25700000.0
Atlético Madrid,2019-12-31,167500000.0,57900000.0
Real Madrid,2019-12-31,162750000.0,136100000.0
FC Barcelona,2019-12-31,141100000.0,146050000.0
Valencia CF,2019-12-31,129199999.99999999,68800000.0
Villarreal CF,2019-12-31,92900000.0,54800000.0
Sevilla FC,2019-12-31,81050000.0,91250000.0
Real Betis Balompié,2019-12-31,44500000.0,48800000.0
Athletic Bilbao,2019-12-31,32900000.0,80000000.0
Celta de Vigo,2019-12-31,30000000.0,35700000.0
Getafe CF,2019-12-31,27250000.0,5000000.0
Levante UD,2019-12-31,26700000.0,39000000.0
RCD Espanyol Barcelona,2019-12-31,22600000.0,30800000.0
CD Leganés,2019-12-31,18700000.0,24600000.0
Rayo Vallecano,2019-12-31,12300000.0,13000000.0
Real Sociedad,2019-12-31,12000000.0,30800000.0
Girona FC,2019-12-31,10200000.0,3300000.0
Real Valladolid CF,2019-12-31,10100000.0,0.0
Deportivo Alavés,2019-12-31,10000000.0,9000000.0
SD Huesca,2019-12-31,9800000.0,400000.0
SD Eibar,2019-12-31,8000000.0,7750000.0
Real Madrid,2020-12-31,355500000.0,135500000.0
FC Barcelona,2020-12-31,301000000.0,152900000.0
Atlético Madrid,2020-12-31,245300000.0,309000000.0
Sevilla FC,2020-12-31,178730000.0,131449999.99999999
Real Betis Balompié,2020-12-31,92750000.0,72000000.0
Valencia CF,2020-12-31,75000000.0,56300000.0
RCD Espanyol Barcelona,2020-12-31,61500000.0,59000000.0
Villarreal CF,2020-12-31,43800000.0,69300000.0
Real Sociedad,2020-12-31,31750000.0,9500000.0
Celta de Vigo,2020-12-31,24600000.0,40550000.0
Getafe CF,2020-12-31,21500000.0,11250000.0
SD Eibar,2020-12-31,17300000.0,27000000.0
CD Leganés,2020-12-31,16450000.0,40820000.0
Levante UD,2020-12-31,14600000.0,14900000.0
CA Osasuna,2020-12-31,14450000.0,300000.0
Deportivo Alavés,2020-12-31,10770000.0,22500000.0
Granada CF,2020-12-31,10750000.0,300000.0
RCD Mallorca,2020-12-31,7500000.0,0.0
Real Valladolid CF,2020-12-31,1400000.0,8000000.0
Athletic Bilbao,2020-12-31,,0.0
FC Barcelona,2021-12-31,112000000.0,139800000.0
Atlético Madrid,2021-12-31,89000000.0,83300000.0
Sevilla FC,2021-12-31,70250000.0,19500000.0
Villarreal CF,2021-12-31,36500000.0,26650000.0
Getafe CF,2021-12-31,22050000.0,9750000.0
Granada CF,2021-12-31,20500000.0,0.0
Athletic Bilbao,2021-12-31,12000000.0,0.0
Cádiz CF,2021-12-31,10100000.0,0.0
Real Sociedad,2021-12-31,10000000.0,25250000.0
Real Valladolid CF,2021-12-31,9850000.0,12100000.0
CA Osasuna,2021-12-31,8250000.0,3450000.0
Elche CF,2021-12-31,6100000.0,5300000.0
SD Huesca,2021-12-31,4500000.0,0.0
Levante UD,2021-12-31,4000000.0,5000000.0
Celta de Vigo,2021-12-31,3000000.0,2500000.0
SD Eibar,2021-12-31,2000000.0,150000.0
Real Betis Balompié,2021-12-31,,43800000.0
Real Madrid,2021-12-31,,103500000.0
Valencia CF,2021-12-31,,77350000.0
Deportivo Alavés,2021-12-31,,4400000.0
Atlético Madrid,2022-12-31,65000000.0,8000000.0
Villarreal CF,2022-12-31,54500000.0,8250000.0
Sevilla FC,2022-12-31,38500000.0,28500000.0
Real Madrid,2022-12-31,31000000.0,78000000.0
Getafe CF,2022-12-31,15500000.0,21000000.0
FC Barcelona,2022-12-31,14500000.0,53800000.0
Valencia CF,2022-12-31,11200000.0,0.0
RCD Mallorca,2022-12-31,9000000.0,8000000.0
