,Club,Starting_fee,Market_pool,Performance,Year,Coefficient,Num_perf,Stage
478,SL Benfica,12700000,4751000,0,2018-12-31,0,3,Group Stage
479,Qarabağ,12700000,1119000,1000000,2018-12-31,0,3,Group Stage
480,FC Barcelona,14500000,22915000,45967000,2019-12-31,34348000,12,Semi-finals
481,Liverpool FC,14500000,13131000,60200000,2019-12-31,23268000,16,Champions
482,Tottenham Hotspur,14500000,16563000,55047000,2019-12-31,15512000,15,Runner-Up
483,Juventus,14500000,18884000,32277000,2019-12-31,29916000,9,Quarter-finals
484,Manchester United,14500000,17757000,30188000,2019-12-31,31024000,9,Quarter-finals
485,Manchester City,14500000,21189000,33189000,2019-12-31,24376000,9,Quarter-finals
486,Paris Saint-Germain,14500000,24077000,20626000,2019-12-31,26592000,6,Last 16
487,Atlético Madrid,14500000,16291000,22727000,2019-12-31,32132000,6,Last 16
488,Real Madrid,14500000,13248000,21830000,2019-12-31,35456000,6,Last 16
489,Bayern Munich,14500000,11487000,23641000,2019-12-31,33240000,6,Last 16
490,FC Porto,14500000,1056000,36252000,2019-12-31,28808000,9,Quarter-finals
491,Ajax Amsterdam,14500000,1151000,44062000,2019-12-31,18836000,12,Semi-finals
492,Olympique Lyon,14500000,16679000,17406000,2019-12-31,21052000,6,Last 16
493,Borussia Dortmund,14500000,6318000,22826000,2019-12-31,22160000,6,Last 16
494,FC Schalke 04,14500000,9764000,20730000,2019-12-31,19944000,6,Last 16
495,AS Roma,14500000,12018000,18966000,2019-12-31,12188000,6,Last 16
496,SL Benfica,14500000,742000,7403000,2019-12-31,27700000,3,Group Stage
497,SSC Napoli,14500000,12877000,9205000,2019-12-31,13296000,3,Group Stage
498,Inter,14500000,7726000,8313000,2019-12-31,17728000,3,Group Stage
499,Valencia CF,14500000,8414000,8315000,2019-12-31,16620000,3,Group Stage
500,Shakhtar Donetsk,14500000,438000,6221000,2019-12-31,25484000,3,Group Stage
501,AS Monaco,14500000,18428000,1449000,2019-12-31,6648000,3,Group Stage
502,CSKA Moskva,14500000,721000,7469000,2019-12-31,14404000,3,Group Stage
503,Club Brugge,14500000,1720000,6297000,2019-12-31,8864000,3,Group Stage
504,Galatasaray,14500000,1772000,4500000,2019-12-31,9972000,3,Group Stage
505,Viktoria Plzeň,14500000,742000,7502000,2019-12-31,7756000,3,Group Stage
506,PSV Eindhoven,14500000,910000,2410000,2019-12-31,11080000,3,Group Stage
507,TSG 1899 Hoffenheim,14500000,6892000,3314000,2019-12-31,3324000,3,Group Stage
508,Young Boys,14500000,2282000,4520000,2019-12-31,5540000,3,Group Stage
509,Lokomotiv Moskva,14500000,796000,3637000,2019-12-31,4432000,3,Group Stage
510,Crvena zvezda,14500000,1076000,4542000,2019-12-31,2216000,3,Group Stage
511,AEK Athens,14500000,2696000,659000,2019-12-31,1108000,3,Group Stage
512,Bayern Munich,15250000,12542000,49805000,2020-12-31,33240000,13,1
513,Paris Saint-Germain,15250000,25534000,47738000,2020-12-31,27700000,12,Semi-finals
514,FC Barcelona,15250000,0,20000000,2020-12-31,34348000,9,Quarter-finals
515,Olympique Lyon,15250000,0,32000000,2020-12-31,22160000,12,Semi-finals
516,Atlético Madrid,15250000,0,20000000,2020-12-31,32132000,9,Quarter-finals
517,Manchester City,15250000,0,20000000,2020-12-31,25484000,9,Quarter-finals
518,Real Madrid,15250000,0,20203000,2020-12-31,35456000,6,Last 16
519,Juventus,15250000,0,9500000,2020-12-31,29916000,6,Last 16
520,Chelsea FC,15250000,0,9500000,2020-12-31,31024000,6,Last 16
521,Liverpool FC,15250000,0,9500000,2020-12-31,26592000,6,Last 16
522,RB Leipzig,15250000,0,32000000,2020-12-31,4432000,12,Semi-finals
523,Borussia Dortmund,15250000,0,9500000,2020-12-31,24376000,6,Last 16
524,Tottenham Hotspur,15250000,0,9500000,2020-12-31,19944000,6,Last 16
525,Valencia CF,15250000,0,9500000,2020-12-31,17728000,6,Last 16
526,SSC Napoli,15250000,0,9500000,2020-12-31,15512000,6,Last 16
527,SL Benfica,15250000,0,0,2020-12-31,28808000,3,Group Stage
528,Ajax Amsterdam,15250000,0,0,2020-12-31,21052000,3,Group Stage
529,Atalanta,15250000,0,20000000,2020-12-31,3324000,9,Quarter-finals
530,Shakhtar Donetsk,15250000,0,0,2020-12-31,23268000,3,Group Stage
531,Zenit,15250000,0,0,2020-12-31,18836000,3,Group Stage
532,Inter,15250000,0,0,2020-12-31,16620000,3,Group Stage
533,Bayer Leverkusen,15250000,0,0,2020-12-31,14404000,3,Group Stage
534,Salzburg,15250000,0,0,2020-12-31,12188000,3,Group Stage
535,Olympiacos,15250000,0,0,2020-12-31,13296000,3,Group Stage
536,Galatasaray,15250000,0,0,2020-12-31,11080000,3,Group Stage
537,Club Brugge,15250000,0,0,2020-12-31,9972000,3,Group Stage
538,Dinamo Zagreb,15250000,0,0,2020-12-31,7756000,3,Group Stage
539,Genk,15250000,0,0,2020-12-31,8864000,3,Group Stage
540,Lokomotiv Moskva,15250000,0,0,2020-12-31,6648000,3,Group Stage
541,LOSC Lille,15250000,0,0,2020-12-31,5540000,3,Group Stage
542,Crvena zvezda,15250000,0,0,2020-12-31,2216000,3,Group Stage
543,Slavia Praha,15250000,0,0,2020-12-31,1108000,3,Group Stage
