Club,Year,Domestic_TV_Money 
Stoke City,2016-12-31,103400000
Chelsea FC,2016-12-31,113500000
Everton FC,2016-12-31,108000000
Swansea City,2016-12-31,98600000
Watford FC,2016-12-31,96900000
West Bromwich Albion,2016-12-31,95300000
Crystal Palace,2016-12-31,93700000
AFC Bournemouth,2016-12-31,92100000
Sunderland AFC,2016-12-31,93400000
Newcastle United,2016-12-31,94700000
Norwich City,2016-12-31,87300000
Aston Villa,2016-12-31,86600000
Chelsea FC,2017-12-31,173000000
Tottenham Hotspur,2017-12-31,167700000
Manchester City,2017-12-31,168700000
Liverpool FC,2017-12-31,167500000
Arsenal FC,2017-12-31,161100000
Manchester United,2017-12-31,162000000
Everton FC,2017-12-31,149400000
Southampton FC,2017-12-31,144000000
AFC Bournemouth,2017-12-31,137600000
West Bromwich Albion,2017-12-31,137700000
West Ham United,2017-12-31,135300000
Leicester City,2017-12-31,138600000
Stoke City,2017-12-31,125700000
Crystal Palace,2017-12-31,132200000
Swansea City,2017-12-31,119300000
Burnley FC,2017-12-31,123600000
Watford FC,2017-12-31,124600000
Hull City,2017-12-31,117000000
Middlesbrough FC,2017-12-31,118000000
Sunderland AFC,2017-12-31,112700000
Manchester City,2018-12-31,176336840
Manchester United,2018-12-31,176725060
Tottenham Hotspur,2018-12-31,170446280
Liverpool FC,2018-12-31,172166720
Chelsea FC,2018-12-31,167221340
Arsenal FC,2018-12-31,167609560
Burnley FC,2018-12-31,141330960
Everton FC,2018-12-31,151051800
Leicester City,2018-12-31,139440600
Newcastle United,2018-12-31,145161240
Crystal Palace,2018-12-31,134882260
AFC Bournemouth,2018-12-31,131270280
West Ham United,2018-12-31,136990920
Watford FC,2018-12-31,125379720
Brighton & Hove Albion,2018-12-31,127100160
Huddersfield Town,2018-12-31,120821380
Southampton FC,2018-12-31,126542020
Swansea City,2018-12-31,116264220
Stoke City,2018-12-31,116651260
West Bromwich Albion,2018-12-31,111705880
Manchester City,2019-12-31,165500000
Liverpool FC,2019-12-31,167100000
Chelsea FC,2019-12-31,159900000
Tottenham Hotspur,2019-12-31,159000000
Arsenal FC,2019-12-31,155500000
Manchester United,2019-12-31,155900000
Wolverhampton Wanderers,2019-12-31,138500000
Everton FC,2019-12-31,140100000
Leicester City,2019-12-31,134200000
West Ham United,2019-12-31,133300000
Watford FC,2019-12-31,123500000
Crystal Palace,2019-12-31,123800000
Newcastle United,2019-12-31,130500000
AFC Bournemouth,2019-12-31,116900000
Burnley FC,2019-12-31,116000000
Southampton FC,2019-12-31,112600000
Brighton & Hove Albion,2019-12-31,114200000
Cardiff City,2019-12-31,110800000
Fulham FC,2019-12-31,109900000
Huddersfield Town,2019-12-31,103900000
Liverpool FC,2020-12-31,181304640
Manchester City,2020-12-31,174762720
Manchester United,2020-12-31,172582080
Chelsea FC,2020-12-31,167078560
Leicester City,2020-12-31,153060160
Tottenham Hotspur,2020-12-31,158252160
Wolverhampton Wanderers,2020-12-31,149737280
Arsenal FC,2020-12-31,147245120
Sheffield United,2020-12-31,140910880
Burnley FC,2020-12-31,135511200
Southampton FC,2020-12-31,124504160
Everton FC,2020-12-31,136445760
Newcastle United,2020-12-31,130838400
Crystal Palace,2020-12-31,120039040
Brighton & Hove Albion,2020-12-31,114535520
West Ham United,2020-12-31,121077440
Aston Villa,2020-12-31,110174240
AFC Bournemouth,2020-12-31,101347840
Watford FC,2020-12-31,104670720
Norwich City,2020-12-31,98024960
FC Barcelona,2009-12-31,140000000
Real Madrid,2009-12-31,140000000
Sevilla FC,2009-12-31,24000000
Atlético Madrid,2009-12-31,42000000
Villarreal CF,2009-12-31,25000000
Valencia CF,2009-12-31,42000000
Deportivo de La Coruña,2009-12-31,14000000
Málaga CF,2009-12-31,12000000
RCD Mallorca,2009-12-31,13700000
RCD Espanyol Barcelona,2009-12-31,13700000
Racing Santander,2009-12-31,12500000
UD Almería,2009-12-31,12500000
Athletic Bilbao,2009-12-31,17000000
CA Osasuna,2009-12-31,13000000
Real Valladolid CF,2009-12-31,12800000
Sporting Gijón,2009-12-31,12000000
Getafe CF,2009-12-31,18000000
Real Betis Balompié,2009-12-31,18000000
CD Numancia,2009-12-31,12000000
Recreativo Huelva,2009-12-31,12000000
FC Barcelona,2010-12-31,140000000
Real Madrid,2010-12-31,140000000
Valencia CF,2010-12-31,42000000
Sevilla FC,2010-12-31,24000000
RCD Mallorca,2010-12-31,13700000
Getafe CF,2010-12-31,18000000
Villarreal CF,2010-12-31,25000000
Athletic Bilbao,2010-12-31,17000000
Atlético Madrid,2010-12-31,42000000
Deportivo de La Coruña,2010-12-31,14000000
RCD Espanyol Barcelona,2010-12-31,13700000
CA Osasuna,2010-12-31,13000000
UD Almería,2010-12-31,12500000
Real Zaragoza,2010-12-31,14000000
Sporting Gijón,2010-12-31,12000000
Racing Santander,2010-12-31,12500000
Málaga CF,2010-12-31,12000000
CD Tenerife,2010-12-31,12000000
Real Valladolid CF,2010-12-31,12800000
Xerez CD,2010-12-31,12000000
FC Barcelona,2011-12-31,140000000
Real Madrid,2011-12-31,140000000
Valencia CF,2011-12-31,42000000
Villarreal CF,2011-12-31,25000000
Sevilla FC,2011-12-31,24000000
Athletic Bilbao,2011-12-31,17000000
Atlético Madrid,2011-12-31,42000000
RCD Espanyol Barcelona,2011-12-31,13700000
CA Osasuna,2011-12-31,13000000
Sporting Gijón,2011-12-31,12000000
Málaga CF,2011-12-31,12000000
Racing Santander,2011-12-31,12500000
Real Sociedad,2011-12-31,12000000
Real Zaragoza,2011-12-31,14000000
Levante UD,2011-12-31,12000000
Getafe CF,2011-12-31,18000000
RCD Mallorca,2011-12-31,13700000
Deportivo de La Coruña,2011-12-31,14000000
Hércules CF,2011-12-31,12000000
UD Almería,2011-12-31,12500000
Real Madrid,2012-12-31,140000000
FC Barcelona,2012-12-31,140000000
Valencia CF,2012-12-31,42000000
Málaga CF,2012-12-31,12000000
Atlético Madrid,2012-12-31,42000000
Levante UD,2012-12-31,12000000
CA Osasuna,2012-12-31,13000000
RCD Mallorca,2012-12-31,13700000
Sevilla FC,2012-12-31,24000000
Athletic Bilbao,2012-12-31,17000000
Getafe CF,2012-12-31,18000000
Real Sociedad,2012-12-31,13700000
Real Betis Balompié,2012-12-31,12000000
RCD Espanyol Barcelona,2012-12-31,13700000
Rayo Vallecano,2012-12-31,12000000
Real Zaragoza,2012-12-31,13000000
Granada CF,2012-12-31,12000000
Villarreal CF,2012-12-31,29000000
Sporting Gijón,2012-12-31,12000000
Racing Santander,2012-12-31,12000000
FC Barcelona,2013-12-31,140000000
Real Madrid,2013-12-31,140000000
Atlético Madrid,2013-12-31,42000000
Real Sociedad,2013-12-31,25000000
Valencia CF,2013-12-31,48000000
Málaga CF,2013-12-31,25000000
Real Betis Balompié,2013-12-31,30000000
Rayo Vallecano,2013-12-31,18000000
Sevilla FC,2013-12-31,32000000
Getafe CF,2013-12-31,25000000
Levante UD,2013-12-31,22000000
Athletic Bilbao,2013-12-31,32000000
RCD Espanyol Barcelona,2013-12-31,28000000
Real Valladolid CF,2013-12-31,18000000
Granada CF,2013-12-31,18000000
CA Osasuna,2013-12-31,22000000
Celta De Vigo,2013-12-31,22000000
RCD Mallorca,2013-12-31,18000000
Deportivo de La Coruña,2013-12-31,18000000
Real Zaragoza,2013-12-31,18000000
Atlético Madrid,2014-12-31,42000000
FC Barcelona,2014-12-31,140000000
Real Madrid,2014-12-31,140000000
Athletic Bilbao,2014-12-31,32000000
Sevilla FC,2014-12-31,32000000
Villarreal CF,2014-12-31,32000000
Real Sociedad,2014-12-31,25000000
Valencia CF,2014-12-31,48000000
Celta De Vigo,2014-12-31,22000000
Levante UD,2014-12-31,22000000
Málaga CF,2014-12-31,25000000
Rayo Vallecano,2014-12-31,18000000
Getafe CF,2014-12-31,25000000
RCD Espanyol Barcelona,2014-12-31,28000000
Granada CF,2014-12-31,18000000
Elche CF,2014-12-31,18000000
UD Almería,2014-12-31,18000000
CA Osasuna,2014-12-31,22000000
Real Valladolid CF,2014-12-31,18000000
Real Betis Balompié,2014-12-31,30000000
FC Barcelona,2015-12-31,163000000
Real Madrid,2015-12-31,162000000
Atlético Madrid,2015-12-31,48000000
Valencia CF,2015-12-31,48000000
Sevilla FC,2015-12-31,33000000
Villarreal CF,2015-12-31,32000000
Athletic Bilbao,2015-12-31,32000000
Celta De Vigo,2015-12-31,21000000
Málaga CF,2015-12-31,24000000
RCD Espanyol Barcelona,2015-12-31,23000000
Rayo Vallecano,2015-12-31,16000000
Real Sociedad,2015-12-31,25000000
Elche CF,2015-12-31,18000000
Levante UD,2015-12-31,20000000
Getafe CF,2015-12-31,21000000
Deportivo de La Coruña,2015-12-31,19000000
Granada CF,2015-12-31,18000000
SD Eibar,2015-12-31,13000000
UD Almería,2015-12-31,17000000
Córdoba CF,2015-12-31,17000000
FC Barcelona,2016-12-31,140000000
Real Madrid,2016-12-31,140000000
Atlético Madrid,2016-12-31,69100000
Villarreal CF,2016-12-31,41700000
Athletic Bilbao,2016-12-31,47900000
Celta De Vigo,2016-12-31,33000000
Sevilla FC,2016-12-31,48400000
Málaga CF,2016-12-31,39000000
Real Sociedad,2016-12-31,38600000
Real Betis Balompié,2016-12-31,33900000
UD Las Palmas,2016-12-31,27700000
Valencia CF,2016-12-31,53800000
RCD Espanyol Barcelona,2016-12-31,35600000
SD Eibar,2016-12-31,28300000
Deportivo de La Coruña,2016-12-31,31700000
Granada CF,2016-12-31,31000000
Sporting Gijón,2016-12-31,29800000
Rayo Vallecano,2016-12-31,32600000
Getafe CF,2016-12-31,32000000
Levante UD,2016-12-31,33800000
Real Madrid,2017-12-31,146200000
FC Barcelona,2017-12-31,140100000
Atlético Madrid,2017-12-31,99200000
Sevilla FC,2017-12-31,65900000
Villarreal CF,2017-12-31,60900000
Real Sociedad,2017-12-31,53500000
Athletic Bilbao,2017-12-31,71000000
RCD Espanyol Barcelona,2017-12-31,48900000
Deportivo Alavés,2017-12-31,39300000
SD Eibar,2017-12-31,41700000
Málaga CF,2017-12-31,55600000
Valencia CF,2017-12-31,67400000
Celta De Vigo,2017-12-31,51400000
UD Las Palmas,2017-12-31,44000000
Real Betis Balompié,2017-12-31,49200000
Deportivo de La Coruña,2017-12-31,44000000
CD Leganés,2017-12-31,39300000
Sporting Gijón,2017-12-31,41700000
CA Osasuna,2017-12-31,43000000
Granada CF,2017-12-31,44600000
FC Barcelona,2018-12-31,154000000
Atlético Madrid,2018-12-31,110600000
Real Madrid,2018-12-31,148000000
Valencia CF,2018-12-31,65700000
Villarreal CF,2018-12-31,65500000
Real Betis Balompié,2018-12-31,52900000
Sevilla FC,2018-12-31,74000000
Getafe CF,2018-12-31,44500000
SD Eibar,2018-12-31,46300000
Girona FC,2018-12-31,43300000
RCD Espanyol Barcelona,2018-12-31,52400000
Real Sociedad,2018-12-31,61500000
Celta De Vigo,2018-12-31,52900000
Deportivo Alavés,2018-12-31,46100000
Levante UD,2018-12-31,45100000
Athletic Bilbao,2018-12-31,73200000
CD Leganés,2018-12-31,43300000
Deportivo de La Coruña,2018-12-31,46000000
UD Las Palmas,2018-12-31,46800000
Málaga CF,2018-12-31,53500000
FC Barcelona,2019-12-31,166500000
Atlético Madrid,2019-12-31,119200000
Real Madrid,2019-12-31,155300000
Valencia CF,2019-12-31,78700000
Getafe CF,2019-12-31,50500000
Sevilla FC,2019-12-31,80100000
RCD Espanyol Barcelona,2019-12-31,58300000
Athletic Bilbao,2019-12-31,74800000
Real Sociedad,2019-12-31,59100000
Real Betis Balompié,2019-12-31,62300000
Deportivo Alavés,2019-12-31,49900000
SD Eibar,2019-12-31,50800000
CD Leganés,2019-12-31,47600000
Villarreal CF,2019-12-31,74300000
Levante UD,2019-12-31,49500000
Real Valladolid CF,2019-12-31,47600000
Celta De Vigo,2019-12-31,55700000
Girona FC,2019-12-31,48600000
SD Huesca,2019-12-31,44200000
Rayo Vallecano,2019-12-31,47400000
Real Madrid,2020-12-31,156200000
FC Barcelona,2020-12-31,165000000
Atlético Madrid,2020-12-31,124200000
Sevilla FC,2020-12-31,78900000
Villarreal CF,2020-12-31,67600000
Real Sociedad,2020-12-31,58200000
Granada CF,2020-12-31,47100000
Getafe CF,2020-12-31,58800000
Valencia CF,2020-12-31,82200000
CA Osasuna,2020-12-31,47100000
Athletic Bilbao,2020-12-31,72800000
Levante UD,2020-12-31,48100000
Real Valladolid CF,2020-12-31,47100000
SD Eibar,2020-12-31,50900000
Real Betis Balompié,2020-12-31,59800000
Deportivo Alavés,2020-12-31,49600000
Celta De Vigo,2020-12-31,53300000
CD Leganés,2020-12-31,47700000
RCD Mallorca,2020-12-31,43600000
RCD Espanyol Barcelona,2020-12-31,59300000
Ajax Amsterdam,2014-12-31,7964000
Feyenoord Rotterdam,2014-12-31,7164000
FC Twente,2014-12-31,6365000
PSV Eindhoven,2014-12-31,5565000
sc Heerenveen,2014-12-31,4920000
Vitesse,2014-12-31,4274000
FC Groningen,2014-12-31,3628000
AZ Alkmaar,2014-12-31,2982000
ADO Den Haag,2014-12-31,2490000
FC Utrecht,2014-12-31,2275000
PEC Zwolle,2014-12-31,2121000
SC Cambuur,2014-12-31,1968000
Go Ahead Eagles,2014-12-31,1845000
Heracles Almelo,2014-12-31,1722000
NAC Breda,2014-12-31,1599000
RKC Waalwijk,2014-12-31,1568000
NEC Nijmegen,2014-12-31,1522000
Roda JC Kerkrade,2014-12-31,1522000
PSV Eindhoven,2015-12-31,7964000
Ajax Amsterdam,2015-12-31,7164000
AZ Alkmaar,2015-12-31,6365000
Feyenoord Rotterdam,2015-12-31,5565000
Vitesse,2015-12-31,4920000
PEC Zwolle,2015-12-31,4274000
sc Heerenveen,2015-12-31,3628000
FC Groningen,2015-12-31,2982000
Willem II,2015-12-31,2490000
FC Twente,2015-12-31,2275000
FC Utrecht,2015-12-31,2121000
SC Cambuur,2015-12-31,1968000
ADO Den Haag,2015-12-31,1845000
Heracles Almelo,2015-12-31,1722000
SBV Excelsior,2015-12-31,1599000
NAC Breda,2015-12-31,1568000
Go Ahead Eagles,2015-12-31,1522000
FC Dordrecht,2015-12-31,1522000
PSV Eindhoven,2016-12-31,7964000
Ajax Amsterdam,2016-12-31,7164000
Feyenoord Rotterdam,2016-12-31,6365000
AZ Alkmaar,2016-12-31,5565000
FC Utrecht,2016-12-31,4920000
Heracles Almelo,2016-12-31,4274000
FC Groningen,2016-12-31,3628000
PEC Zwolle,2016-12-31,2982000
Vitesse,2016-12-31,2490000
NEC Nijmegen,2016-12-31,2275000
ADO Den Haag,2016-12-31,2121000
sc Heerenveen,2016-12-31,1968000
FC Twente,2016-12-31,1845000
Roda JC Kerkrade,2016-12-31,1722000
SBV Excelsior,2016-12-31,1599000
Willem II,2016-12-31,1568000
De Graafschap,2016-12-31,1522000
SC Cambuur,2016-12-31,1522000
Feyenoord Rotterdam,2017-12-31,7964000
Ajax Amsterdam,2017-12-31,7164000
PSV Eindhoven,2017-12-31,6365000
FC Utrecht,2017-12-31,5565000
Vitesse,2017-12-31,4920000
AZ Alkmaar,2017-12-31,4274000
FC Twente,2017-12-31,3628000
FC Groningen,2017-12-31,2982000
sc Heerenveen,2017-12-31,2490000
Heracles Almelo,2017-12-31,2275000
ADO Den Haag,2017-12-31,2121000
SBV Excelsior,2017-12-31,1968000
Willem II,2017-12-31,1845000
PEC Zwolle,2017-12-31,1722000
Sparta Rotterdam,2017-12-31,1599000
NEC Nijmegen,2017-12-31,1568000
Roda JC Kerkrade,2017-12-31,1522000
Go Ahead Eagles,2017-12-31,1522000
PSV Eindhoven,2018-12-31,7964000
Ajax Amsterdam,2018-12-31,7164000
AZ Alkmaar,2018-12-31,6365000
Feyenoord Rotterdam,2018-12-31,5565000
FC Utrecht,2018-12-31,4920000
Vitesse,2018-12-31,4274000
ADO Den Haag,2018-12-31,3628000
sc Heerenveen,2018-12-31,2982000
PEC Zwolle,2018-12-31,2490000
Heracles Almelo,2018-12-31,2275000
SBV Excelsior,2018-12-31,2121000
FC Groningen,2018-12-31,1968000
Willem II,2018-12-31,1845000
NAC Breda,2018-12-31,1722000
VVV-Venlo,2018-12-31,1599000
Roda JC Kerkrade,2018-12-31,1568000
Sparta Rotterdam,2018-12-31,1522000
FC Twente,2018-12-31,1522000
Ajax Amsterdam,2019-12-31,7964000
PSV Eindhoven,2019-12-31,7164000
Feyenoord Rotterdam,2019-12-31,6365000
AZ Alkmaar,2019-12-31,5565000
Vitesse,2019-12-31,4920000
FC Utrecht,2019-12-31,4274000
Heracles Almelo,2019-12-31,3628000
FC Groningen,2019-12-31,2982000
ADO Den Haag,2019-12-31,2490000
Willem II,2019-12-31,2275000
sc Heerenveen,2019-12-31,2121000
VVV-Venlo,2019-12-31,1968000
PEC Zwolle,2019-12-31,1845000
FC Emmen,2019-12-31,1722000
Fortuna Sittard,2019-12-31,1599000
SBV Excelsior,2019-12-31,1568000
De Graafschap,2019-12-31,1522000
NAC Breda,2019-12-31,1522000
Ajax Amsterdam,2020-12-31,7964000
AZ Alkmaar,2020-12-31,7164000
Feyenoord Rotterdam,2020-12-31,6365000
PSV Eindhoven,2020-12-31,5565000
Willem II,2020-12-31,4920000
FC Utrecht,2020-12-31,4274000
Vitesse,2020-12-31,3628000
Heracles Almelo,2020-12-31,2982000
FC Groningen,2020-12-31,2490000
sc Heerenveen,2020-12-31,2275000
Sparta Rotterdam,2020-12-31,2121000
FC Emmen,2020-12-31,1968000
VVV-Venlo,2020-12-31,1845000
FC Twente,2020-12-31,1722000
PEC Zwolle,2020-12-31,1599000
Fortuna Sittard,2020-12-31,1568000
ADO Den Haag,2020-12-31,1522000
RKC Waalwijk,2020-12-31,1522000
Inter,2009-12-31,80000000
Juventus,2009-12-31,88000000
AC Milan,2009-12-31,80000000
ACF Fiorentina,2009-12-31,35000000
Genoa CFC,2009-12-31,23000000
AS Roma,2009-12-31,51000000
Udinese Calcio,2009-12-31,24000000
US Palermo,2009-12-31,31000000
Cagliari Calcio,2009-12-31,23000000
SS Lazio,2009-12-31,34000000
Atalanta BC,2009-12-31,17000000
SSC Napoli,2009-12-31,42000000
Sampdoria,2009-12-31,22000000
AC Siena,2009-12-31,17000000
Calcio Catania,2009-12-31,18000000
Chievo Verona,2009-12-31,17000000
Bologna FC 1909,2009-12-31,20000000
Torino FC,2009-12-31,20000000
Reggina Calcio,2009-12-31,17000000
US Lecce,2009-12-31,17000000
Inter,2010-12-31,80000000
AS Roma,2010-12-31,51000000
AC Milan,2010-12-31,80000000
Sampdoria,2010-12-31,22000000
US Palermo,2010-12-31,31000000
SSC Napoli,2010-12-31,42000000
Juventus,2010-12-31,88000000
Parma AC,2010-12-31,19000000
Genoa CFC,2010-12-31,23000000
AS Bari,2010-12-31,17000000
ACF Fiorentina,2010-12-31,35000000
SS Lazio,2010-12-31,34000000
Calcio Catania,2010-12-31,18000000
Chievo Verona,2010-12-31,17000000
Udinese Calcio,2010-12-31,24000000
Cagliari Calcio,2010-12-31,23000000
Bologna FC 1909,2010-12-31,20000000
Atalanta BC,2010-12-31,17000000
AC Siena,2010-12-31,17000000
AS Livorno,2010-12-31,17000000
AC Milan,2011-12-31,71300000
Inter,2011-12-31,72300000
SSC Napoli,2011-12-31,50500000
Udinese Calcio,2011-12-31,34100000
SS Lazio,2011-12-31,46700000
AS Roma,2011-12-31,58700000
Juventus,2011-12-31,75100000
US Palermo,2011-12-31,38300000
ACF Fiorentina,2011-12-31,41700000
Genoa CFC,2011-12-31,32600000
Chievo Verona,2011-12-31,25100000
Parma AC,2011-12-31,28700000
Calcio Catania,2011-12-31,26600000
Cagliari Calcio,2011-12-31,23000000
AC Cesena,2011-12-31,20800000
Bologna FC 1909,2011-12-31,28600000
US Lecce,2011-12-31,23400000
Sampdoria,2011-12-31,34900000
Brescia Calcio,2011-12-31,23400000
AS Bari,2011-12-31,25000000
Juventus,2012-12-31,83800000
AC Milan,2012-12-31,70900000
Udinese Calcio,2012-12-31,28200000
SS Lazio,2012-12-31,42800000
SSC Napoli,2012-12-31,52600000
Inter,2012-12-31,71900000
AS Roma,2012-12-31,47100000
Parma AC,2012-12-31,27400000
Bologna FC 1909,2012-12-31,36600000
Chievo Verona,2012-12-31,29500000
Calcio Catania,2012-12-31,33700000
Atalanta BC,2012-12-31,36900000
ACF Fiorentina,2012-12-31,35700000
AC Siena,2012-12-31,21400000
Cagliari Calcio,2012-12-31,37300000
US Palermo,2012-12-31,34200000
Genoa CFC,2012-12-31,33200000
US Lecce,2012-12-31,28400000
Novara Calcio 1908,2012-12-31,23800000
AC Cesena,2012-12-31,28900000
Juventus,2013-12-31,93300000
SSC Napoli,2013-12-31,60400000
AC Milan,2013-12-31,78400000
ACF Fiorentina,2013-12-31,45300000
Udinese Calcio,2013-12-31,39500000
AS Roma,2013-12-31,61200000
SS Lazio,2013-12-31,37200000
Calcio Catania,2013-12-31,29600000
Inter,2013-12-31,78300000
Parma AC,2013-12-31,28700000
Cagliari Calcio,2013-12-31,33200000
Chievo Verona,2013-12-31,24600000
Bologna FC 1909,2013-12-31,30200000
Sampdoria,2013-12-31,31400000
Atalanta BC,2013-12-31,30700000
Torino FC,2013-12-31,30400000
Genoa CFC,2013-12-31,32300000
US Palermo,2013-12-31,34200000
AC Siena,2013-12-31,21700000
Pescara Calcio,2013-12-31,18500000
Juventus,2014-12-31,94000000
AS Roma,2014-12-31,61400000
SSC Napoli,2014-12-31,59800000
ACF Fiorentina,2014-12-31,44400000
Inter,2014-12-31,80400000
Parma AC,2014-12-31,34300000
Torino FC,2014-12-31,35500000
AC Milan,2014-12-31,77900000
SS Lazio,2014-12-31,49800000
Hellas Verona,2014-12-31,23200000
Atalanta BC,2014-12-31,29100000
Sampdoria,2014-12-31,34300000
Udinese Calcio,2014-12-31,34900000
Genoa CFC,2014-12-31,33300000
Cagliari Calcio,2014-12-31,30900000
Chievo Verona,2014-12-31,26000000
US Sassuolo,2014-12-31,17900000
Calcio Catania,2014-12-31,29400000
Bologna FC 1909,2014-12-31,30000000
AS Livorno,2014-12-31,19500000
Juventus,2015-12-31,94000000
AS Roma,2015-12-31,63000000
SS Lazio,2015-12-31,52000000
ACF Fiorentina,2015-12-31,44000000
