Team_id,Teams,Country_id
460,Sporting Club de Toulon,400
461,Paris FC,400
462,Stade Red Star,400
463,Red Star Olympique Audonien,400
464,Matra Racing,400
465,SC Nimes,400
466,Stade Français,400
467,AS Béziers,400
468,FC Gueugnon,400
469,Association Sportive Avignonaise,400
470,FC Istres,400
471,Stade de Paris FC,400
472,GFC Ajaccio,400
473,AS Aixoise,400
474,US Boulogne,400
475,SR Colmar,400
476,LB Châteauroux,400
477,CS Metz,400
478,CA Paris (old),400
479,ATAC Troyes,400
480,Athlétic Club Arlésien,400
481,Chamois Niortais,400
482,Clermont Foot 63,400
3001,Inter,300
3002,Juventus,300
3003,AS Roma,300
3004,AC Milan,300
3005,ACF Fiorentina,300
3006,SS Lazio,300
3007,Torino FC,300
3008,SSC Napoli,300
3009,Bologna FC 1909,300
3010,Sampdoria,300
3011,Atalanta BC,300
3012,Genoa CFC,300
3013,Udinese Calcio,300
3014,Cagliari Calcio,300
3015,Hellas Verona,300
3016,US Palermo,300
3017,AS Bari,300
3018,Parma AC,300
3019,Brescia Calcio,300
3020,US Triestina,300
3021,Lanerossi Vicenza,300
3022,Chievo Verona,300
3023,Calcio Catania,300
3024,Ascoli Calcio 1898,300
3025,SPAL Ferrara,300
3026,Calcio Padova,300
3027,US Lecce,300
3028,US Alessandria 1912,300
3029,AC Cesena,300
3030,AC Perugia,300
3031,FC Empoli,300
3032,Como Calcio,300
3033,Aurora Pro Patria,300
3034,Novara Calcio 1908,300
3035,Modena FC,300
3036,US Foggia,300
3037,US Avellino,300
3038,AC Siena,300
3039,Reggina Calcio,300
3040,US Livorno,300
3041,Piacenza Calcio,300
3042,Lucchese,300
3043,AC Venezia,300
3044,US Sassuolo,300
3045,US Catanzaro,300
3046,US Cremonese,300
3047,AC Mantova,300
3048,Pescara Calcio,300
3049,AC Venezia 1907,300
3050,AS Varese 1910,300
3051,Pisa SC,300
3052,AS Livorno,300
3053,Pro Vercelli,300
3054,Casale,300
3055,Sampierdarenese,300
3056,AC Reggiana,300
3057,Legnano,300
3058,SPAL 2013 Ferrara,300
3059,FC Crotone,300
3060,FC Messina,300
3061,Calcio Lecco 1912,300
3062,AC Liguria,300
3063,US Salernitana,300
3064,Ternana Calcio,300
3065,A.C.R. Messina,300
3066,Benevento Calcio,300
3067,AC Ancona,300
3068,Frosinone Calcio,300
3069,Spezia Calcio,300
3070,Carpi FC 1909,300
3071,AC Pistoiese,300
3072,Treviso FBC 1993,300
2001,Everton FC,200
2002,Aston Villa,200
2003,Liverpool FC,200
2004,Arsenal FC,200
2005,Manchester United,200
2006,Manchester City,200
2007,West Bromwich Albion,200
2008,Sunderland AFC,200
2009,Newcastle United,200
2010,Tottenham Hotspur,200
2011,Chelsea FC,200
2012,Derby County,200
2013,Wolverhampton Wanderers,200
2014,Sheffield Wednesday,200
2015,Bolton Wanderers,200
2016,Blackburn Rovers,200
2017,Sheffield United,200
2018,Nottingham Forest,200
2019,Stoke City,200
2020,Middlesbrough FC,200
2021,Burnley FC,200
2022,West Ham United,200
2023,Leeds United,200
2024,Leicester City,200
2025,Preston North End,200
2026,Southampton FC,200
2027,Birmingham City,200
2028,Ipswich Town,200
2029,Coventry City,200
2030,Huddersfield Town,200
2031,Norwich City,200
2032,Portsmouth FC,200
2033,Queens Park Rangers,200
2034,Crystal Palace,200
2035,Charlton Athletic,200
2036,Blackpool FC,200
2037,Fulham FC,200
2038,Cardiff City,200
2039,Watford FC,200
2040,Notts County,200
2041,Birmingham FC,200
2042,Bury FC,200
2043,Bristol City,200
2044,Reading FC,200
2045,Luton Town,200
2046,Bradford City,200
2047,Barnsley FC,200
2048,Grimsby Town,200
2049,Wimbledon FC,200
2050,Millwall FC,200
2051,Brighton & Hove Albion,200
2052,Swansea City,200
2053,Wigan Athletic,200
2054,Hull City,200
2055,Oldham Athletic,200
2056,Brentford FC,200
2057,Rotherham United,200
2058,AFC Bournemouth,200
2059,Crewe Alexandra,200
2060,Plymouth Argyle,200
2061,Tranmere Rovers,200
2062,Accrington FC,200
2063,Doncaster Rovers,200
2064,Oxford United,200
2065,Gillingham FC,200
2066,Swindon Town,200
2067,Port Vale FC,200
2068,Stockport County,200
2069,Walsall FC,200
2070,Scunthorpe United,200
2071,Southend United,200
2072,Peterborough United,200
2073,Colchester United,200
2074,Burton Albion,200
2075,Darwen,200
2076,Wycombe Wanderers,200
2077,Glossop North End,200
2078,Leyton Orient,200
2079,Milton Keynes Dons,200
2080,Northampton Town,200
2081,Carlisle United,200
2082,Yeovil Town,200
1001,FC Barcelona,100
1002,Athletic Bilbao,100
1003,Real Madrid,100
1004,Atlético Madrid,100
1005,RCD Espanyol Barcelona,100
1006,Valencia CF,100
1007,Sevilla FC,100
1008,Real Sociedad,100
1009,Real Zaragoza,100
1010,Celta De Vigo,100
1011,Real Betis Balompié,100
1012,Sporting Gijón,100
1013,Real Valladolid CF,100
1014,UD Las Palmas,100
1015,Deportivo de La Coruña,100
1016,Racing Santander,100
1017,CA Osasuna,100
1018,Real Oviedo,100
1019,Málaga CF,100
1020,Elche CF,100
1021,RCD Mallorca,100
1022,CD Tenerife,100
1023,Hércules CF,100
1024,Real Murcia CF,100
1025,Granada CF,100
1026,Rayo Vallecano,100
1027,Deportivo Alavés,100
1028,Córdoba CF,100
1029,Villarreal CF,100
1030,Levante UD,100
1031,Albacete Balompié,100
1032,UD Salamanca,100
1033,CD Numancia,100
1034,UD Almería,100
1035,Cádiz CF,100
1036,Getafe CF,100
1037,SD Eibar,100
1038,CE Sabadell,100
1039,Recreativo Huelva,100
1040,CD Castellón,100
1041,Gimnàstic de Tarragona,100
1042,CD Leganés,100
1043,CD Logroñés,100
1044,Girona FC,100
1045,Xerez CD,100
1046,AD Alcorcón,100
1047,SD Huesca,100
1048,UE Lleida,100
1049,FC Barcelona B,100
1050,CD Lugo,100
1051,SD Compostela,100
1052,SD Ponferradina,100
1053,CD Badajoz,100
1054,Real Jaén,100
1055,CD Mirandés,100
1056,Pontevedra CF,100
1057,Burgos CF,100
1058,Arenas de Getxo,100
1059,Polideportivo Ejido,100
1060,CF Extremadura,100
1061,Racing Ferrol,100
1062,Real Madrid B,100
1063,Real Unión,100
1064,CD Alcoyano,100
1065,CP Mérida,100
1066,CD Toledo,100
1067,Ciudad de Murcia,100
1068,FC Cartagena,100
1069,Atlético Madrid B,100
1070,Sevilla Atlético,100
1071,Real Burgos,100
1072,Villarreal CF B,100
1073,CE Europa,100
1074,CF Reus Deportiu,100
1075,Atlético Malagueño,100
1076,Terrassa CF,100
1077,CD Ourense,100
1078,UE Llagostera,100
1079,CF Fuenlabrada,100
1080,Extremadura UD,100
1081,CD Guadalajara,100
1082,CD Leonesa,100
1083,Écija Balompié,100
1084,Bilbao Athletic,100
1085,Lorca Deportiva,100
1086,Lorca FC,100
1087,Rayo Majadahonda,100
1088,Atlético Marbella,100
1089,UD Vecindario,100
1090,RCD Mallorca B,100
1091,Algeciras CF,100
1092,UCAM Murcia CF,100
1093,UD Logroñés,100
1094,Universidad Las Palmas,100
1095,Atlético Tetuán,100
1096,Alicante CF,100
1097,Sestao SC,100
1098,CD Condal,100
